iter	Logloss
0	0.6915319124
1	0.6904838482
2	0.6895097479
3	0.688830958
4	0.6881904651
5	0.6871393324
6	0.6865413555
7	0.6863408483
8	0.6853814026
9	0.6843108278
10	0.6826039075
11	0.6816587879
12	0.6811175766
13	0.6800878423
14	0.679083389
15	0.6782612876
16	0.6779510046
17	0.6774717853
18	0.6773314244
19	0.6770583457
20	0.6760159827
21	0.6753398586
22	0.6746073304
23	0.6743684415
24	0.6736807435
25	0.6728024131
26	0.6722180503
27	0.6721673568
28	0.6721387893
29	0.6711324862
30	0.6705456974
31	0.6695226994
32	0.6691501943
33	0.6680263865
34	0.667990712
35	0.6668372519
36	0.6658772481
37	0.6651044614
38	0.6645700797
39	0.6642848144
40	0.6641424103
41	0.6636822981
42	0.6635351018
43	0.6626551179
44	0.6622238381
45	0.661618549
46	0.660720197
47	0.6606013209
48	0.6596246098
49	0.6590462583
50	0.6586137086
51	0.6583742339
52	0.6583710776
53	0.6580953968
54	0.6577881672
55	0.6566086933
56	0.6560026155
57	0.6556319279
58	0.6544865602
59	0.6540014183
60	0.6538676708
61	0.6529398449
62	0.6522598281
63	0.652259783
64	0.6522365029
65	0.6513572232
66	0.6513203681
67	0.6507914436
68	0.6502787964
69	0.6495173381
70	0.6492398431
71	0.6482206091
72	0.6482205688
73	0.647574499
74	0.6470418555
75	0.6465240103
76	0.6464463127
77	0.6456572937
78	0.6449274491
79	0.6436298642
80	0.6427450889
81	0.6416164263
82	0.6414616727
83	0.6403485584
84	0.6399513495
85	0.6398798551
86	0.6391213997
87	0.6384736662
88	0.6373846859
89	0.6367906332
90	0.6359383513
91	0.635124233
92	0.6350626972
93	0.6350531659
94	0.6348344308
95	0.6348137195
96	0.6343649201
97	0.6337109795
98	0.6334515107
99	0.6330800062
100	0.6328124432
101	0.6328077239
102	0.632637836
103	0.6326378338
104	0.6319124525
105	0.6318924046
106	0.6318801267
107	0.631826663
108	0.631522803
109	0.631359757
110	0.6306944676
111	0.6301074597
112	0.6297878493
113	0.6294567769
114	0.629025073
115	0.6286952715
116	0.6286952392
117	0.6280489291
118	0.6275535542
119	0.6269720408
120	0.6268808911
121	0.6265863878
122	0.6263119041
123	0.6260620536
124	0.6254607821
125	0.6248117966
126	0.62456989
127	0.6243019771
128	0.6239622771
129	0.6238741782
130	0.6232722987
131	0.6232479781
132	0.6231888445
133	0.6224493887
134	0.6222199036
135	0.6212241036
136	0.6212240593
137	0.620776505
138	0.6200336854
139	0.6197654935
140	0.6197197989
141	0.6194658252
142	0.6191312423
143	0.6191310719
144	0.6187425539
145	0.6181985761
146	0.6178321722
147	0.6175475393
148	0.6175381874
149	0.6161841924
150	0.6156929833
