iter	Passed	Remaining
0	180	180764
1	207	103406
2	236	78735
3	264	65936
4	291	58051
5	318	52827
6	346	49203
7	362	44946
8	389	42900
9	419	41506
10	446	40121
11	472	38892
12	499	37934
13	527	37119
14	554	36393
15	581	35741
16	603	34907
17	627	34219
18	645	33344
19	672	32967
20	700	32642
21	735	32686
22	764	32460
23	785	31925
24	813	31740
25	842	31576
26	872	31433
27	896	31126
28	908	30404
29	937	30303
30	967	30238
31	996	30132
32	1025	30039
33	1054	29957
34	1074	29626
35	1103	29549
36	1134	29529
37	1163	29462
38	1192	29382
39	1220	29300
40	1237	28938
41	1265	28869
42	1283	28555
43	1310	28480
44	1339	28425
45	1368	28382
46	1397	28343
47	1417	28120
48	1446	28077
49	1475	28034
50	1503	27985
51	1527	27849
52	1538	27494
53	1560	27344
54	1579	27142
55	1605	27069
56	1632	27002
57	1658	26938
58	1686	26897
59	1713	26841
60	1731	26657
61	1757	26587
62	1783	26526
63	1790	26187
64	1805	25965
65	1831	25912
66	1841	25649
67	1868	25603
68	1895	25571
69	1924	25574
70	1953	25560
71	1979	25517
72	1986	25229
73	2012	25188
74	2039	25156
75	2069	25158
76	2083	24980
77	2110	24941
78	2137	24916
79	2163	24884
80	2190	24853
81	2217	24823
82	2243	24785
83	2269	24748
84	2295	24713
85	2314	24599
86	2344	24608
87	2371	24576
88	2398	24551
89	2424	24519
90	2451	24485
91	2478	24465
92	2497	24357
93	2508	24172
94	2533	24136
95	2544	23956
96	2569	23918
97	2596	23897
98	2620	23852
99	2643	23790
100	2670	23766
101	2681	23611
102	2714	23641
103	2723	23465
104	2752	23461
105	2763	23311
106	2779	23197
107	2796	23099
108	2823	23080
109	2849	23055
110	2877	23049
111	2904	23026
112	2932	23017
113	2958	22995
114	2984	22969
115	3010	22945
116	3018	22780
117	3044	22752
118	3069	22723
119	3095	22697
120	3118	22651
121	3144	22628
122	3166	22578
123	3197	22587
124	3226	22588
125	3254	22577
126	3283	22572
127	3311	22560
128	3339	22545
129	3359	22480
130	3386	22467
131	3402	22372
132	3417	22278
133	3449	22294
134	3506	22468
135	3539	22486
136	3547	22343
137	3574	22325
138	3602	22313
139	3633	22317
140	3645	22209
141	3670	22175
142	3700	22175
143	3712	22068
144	3740	22058
145	3769	22046
146	3797	22036
147	3827	22036
148	3839	21927
149	3867	21915
150	3896	21910
151	3926	21906
152	3955	21897
153	3983	21884
154	4011	21870
155	4037	21846
156	4064	21824
157	4091	21801
158	4105	21717
159	4130	21686
160	4156	21657
161	4182	21635
162	4208	21609
163	4233	21581
164	4244	21480
165	4271	21459
166	4296	21429
167	4322	21409
168	4348	21383
169	4374	21357
170	4399	21329
171	4425	21304
172	4452	21283
173	4478	21260
174	4504	21233
175	4529	21207
176	4540	21111
177	4565	21084
178	4591	21059
179	4617	21036
180	4642	21008
181	4668	20983
182	4694	20960
183	4722	20943
184	4748	20919
185	4759	20827
186	4780	20783
187	4805	20756
188	4831	20733
189	4839	20629
190	4864	20602
191	4870	20498
192	4896	20473
193	4922	20450
194	4929	20348
195	4935	20246
196	4961	20224
197	4976	20158
198	4983	20058
199	5008	20034
200	5034	20011
201	5061	19996
202	5093	19998
203	5123	19990
204	5148	19966
205	5164	19906
206	5193	19896
207	5221	19883
208	5248	19864
209	5275	19844
210	5293	19793
